"","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"136","sp|D3Z7P3|GLSK_MOUSE","sp|D3Z7P3|GLSK_MOUSE","11","11","11","Glutaminase kidney isoform, mitochondrial",1,11,11,11
"137","sp|E9PVA8|GCN1_MOUSE","sp|E9PVA8|GCN1_MOUSE","12","12","12","eIF-2-alpha kinase activator GCN1",1,12,12,12
"138","sp|E9PYK3|PARP4_MOUSE","sp|E9PYK3|PARP4_MOUSE","2","2","2","Protein mono-ADP-ribosyltransferase PARP4",1,2,2,2
"139","sp|E9Q1P8|I2BP2_MOUSE","sp|E9Q1P8|I2BP2_MOUSE","2","2","2","Interferon regulatory factor 2-binding protein 2",1,2,2,2
"140","sp|E9Q2M9|WDFY4_MOUSE","sp|E9Q2M9|WDFY4_MOUSE","34","34","34","WD repeat- and FYVE domain-containing protein 4",1,34,34,34
"141","sp|E9Q394|AKP13_MOUSE","sp|E9Q394|AKP13_MOUSE","5","5","5","A-kinase anchor protein 13",1,5,5,5
"142","sp|E9Q3L2|PI4KA_MOUSE","sp|E9Q3L2|PI4KA_MOUSE","3","3","3","Phosphatidylinositol 4-kinase alpha",1,3,3,3
"143","sp|E9Q555|RN213_MOUSE","sp|E9Q555|RN213_MOUSE","6","6","6","E3 ubiquitin-protein ligase RNF213",1,6,6,6
"144","sp|E9Q557|DESP_MOUSE","sp|E9Q557|DESP_MOUSE","27","27","27","Desmoplakin",1,27,27,27
"145","sp|E9Q5C9|NOLC1_MOUSE","sp|E9Q5C9|NOLC1_MOUSE","10","10","10","Nucleolar and coiled-body phosphoprotein 1",1,10,10,10
"146","sp|E9Q634|MYO1E_MOUSE","sp|E9Q634|MYO1E_MOUSE","6","2","2","Unconventional myosin-Ie",1,6,2,2
"147","sp|E9Q735|UBE4A_MOUSE","sp|E9Q735|UBE4A_MOUSE","2","2","2","Ubiquitin conjugation factor E4 A",1,2,2,2
"148","sp|E9Q7G0|NUMA1_MOUSE","sp|E9Q7G0|NUMA1_MOUSE","49","49","49","Nuclear mitotic apparatus protein 1",1,49,49,49
"149","sp|E9Q912|GDS1_MOUSE","sp|E9Q912|GDS1_MOUSE","9","9","9","Rap1 GTPase-GDP dissociation stimulator 1",1,9,9,9
"150","sp|E9QAT4|SC16A_MOUSE","sp|E9QAT4|SC16A_MOUSE","2","2","2","Protein transport protein Sec16A",1,2,2,2
"151","sp|F6XLV1|CRCC2_MOUSE","sp|F6XLV1|CRCC2_MOUSE","107","107","107","Ciliary rootlet coiled-coil protein 2",1,107,107,107
"152","sp|F6ZDS4|TPR_MOUSE","sp|F6ZDS4|TPR_MOUSE","25","25","25","Nucleoprotein TPR",1,25,25,25
"153","sp|F7BJB9|MORC3_MOUSE","sp|F7BJB9|MORC3_MOUSE","2","2","2","MORC family CW-type zinc finger protein 3",1,2,2,2
"154","sp|F8VPU2|FARP1_MOUSE","sp|F8VPU2|FARP1_MOUSE","2","2","2","FERM, ARHGEF and pleckstrin domain-containing protein 1",1,2,2,2
"155","sp|G3X982|AOXC_MOUSE","sp|G3X982|AOXC_MOUSE","8","7","7","Aldehyde oxidase 3",1,8,7,7
"156","sp|G3X9K3|BIG1_MOUSE","sp|G3X9K3|BIG1_MOUSE","4","2","2","Brefeldin A-inhibited guanine nucleotide-exchange protein 1",1,4,2,2
"157","sp|G5E829|AT2B1_MOUSE;sp|Q9R0K7|AT2B2_MOUSE","sp|G5E829|AT2B1_MOUSE","16;5","16;5","9;2","Plasma membrane calcium-transporting ATPase 1",2,16,16,9
"158","sp|G5E870|TRIPC_MOUSE","sp|G5E870|TRIPC_MOUSE","4","4","4","E3 ubiquitin-protein ligase TRIP12",1,4,4,4
"159","sp|G5E897|PLGT3_MOUSE","sp|G5E897|PLGT3_MOUSE","4","4","4","Protein O-glucosyltransferase 3",1,4,4,4
"160","sp|G5E8K5|ANK3_MOUSE","sp|G5E8K5|ANK3_MOUSE","6","6","6","Ankyrin-3",1,6,6,6
"161","sp|O08528|HXK2_MOUSE","sp|O08528|HXK2_MOUSE","9","5","5","Hexokinase-2",1,9,5,5
"162","sp|O08529|CAN2_MOUSE","sp|O08529|CAN2_MOUSE","22","22","22","Calpain-2 catalytic subunit",1,22,22,22
"163","sp|O08539|BIN1_MOUSE","sp|O08539|BIN1_MOUSE","7","6","6","Myc box-dependent-interacting protein 1",1,7,6,6
"164","sp|O08547|SC22B_MOUSE","sp|O08547|SC22B_MOUSE","11","11","11","Vesicle-trafficking protein SEC22b",1,11,11,11
"165","sp|O08553|DPYL2_MOUSE;sp|O35098|DPYL4_MOUSE","sp|O08553|DPYL2_MOUSE","33;2","33;2","28;1","Dihydropyrimidinase-related protein 2",2,33,33,28
"166","sp|O08573|LEG9_MOUSE","sp|O08573|LEG9_MOUSE","5","5","5","Galectin-9",1,5,5,5
"167","sp|O08579|EMD_MOUSE","sp|O08579|EMD_MOUSE","6","6","6","Emerin",1,6,6,6
"168","sp|O08582|GTPB1_MOUSE","sp|O08582|GTPB1_MOUSE","3","3","3","GTP-binding protein 1",1,3,3,3
"169","sp|O08583|THOC4_MOUSE;sp|Q9JJW6|ALRF2_MOUSE","sp|O08583|THOC4_MOUSE","12;5","12;5","12;5","THO complex subunit 4",2,12,12,12
"170","sp|O08585|CLCA_MOUSE","sp|O08585|CLCA_MOUSE","8","8","8","Clathrin light chain A",1,8,8,8
"171","sp|O08638|MYH11_MOUSE","sp|O08638|MYH11_MOUSE","30","8","8","Myosin-11",1,30,8,8
"172","sp|O08663|MAP2_MOUSE","sp|O08663|MAP2_MOUSE","4","4","4","Methionine aminopeptidase 2",1,4,4,4
"173","sp|O08692|NGP_MOUSE","sp|O08692|NGP_MOUSE","17","17","17","Neutrophilic granule protein",1,17,17,17
"174","sp|O08709|PRDX6_MOUSE","sp|O08709|PRDX6_MOUSE","24","24","24","Peroxiredoxin-6",1,24,24,24
"175","sp|O08734|BAK_MOUSE","sp|O08734|BAK_MOUSE","3","3","3","Bcl-2 homologous antagonist/killer",1,3,3,3
"176","sp|O08738|CASP6_MOUSE","sp|O08738|CASP6_MOUSE","2","2","2","Caspase-6",1,2,2,2
"177","sp|O08739|AMPD3_MOUSE","sp|O08739|AMPD3_MOUSE","3","3","3","AMP deaminase 3",1,3,3,3
"178","sp|O08749|DLDH_MOUSE","sp|O08749|DLDH_MOUSE","22","22","22","Dihydrolipoyl dehydrogenase, mitochondrial",1,22,22,22
"179","sp|O08756|HCD2_MOUSE","sp|O08756|HCD2_MOUSE","12","12","12","3-hydroxyacyl-CoA dehydrogenase type-2",1,12,12,12
"180","sp|O08759|UBE3A_MOUSE","sp|O08759|UBE3A_MOUSE","2","2","2","Ubiquitin-protein ligase E3A",1,2,2,2
"181","sp|O08784|TCOF_MOUSE","sp|O08784|TCOF_MOUSE","18","18","18","Treacle protein",1,18,18,18
"182","sp|O08788|DCTN1_MOUSE","sp|O08788|DCTN1_MOUSE","12","12","12","Dynactin subunit 1",1,12,12,12
"183","sp|O08795|GLU2B_MOUSE","sp|O08795|GLU2B_MOUSE","10","10","10","Glucosidase 2 subunit beta",1,10,10,10
"184","sp|O08807|PRDX4_MOUSE","sp|O08807|PRDX4_MOUSE","9","8","8","Peroxiredoxin-4",1,9,8,8
"185","sp|O08808|DIAP1_MOUSE","sp|O08808|DIAP1_MOUSE","28","28","28","Protein diaphanous homolog 1",1,28,28,28
"186","sp|O08810|U5S1_MOUSE","sp|O08810|U5S1_MOUSE","24","23","23","116 kDa U5 small nuclear ribonucleoprotein component",1,24,23,23
"187","sp|O08900|IKZF3_MOUSE;sp|Q8C208|IKZF4_MOUSE","sp|O08900|IKZF3_MOUSE","5;1","5;1","4;0","Zinc finger protein Aiolos",2,5,5,4
"188","sp|O08915|AIP_MOUSE","sp|O08915|AIP_MOUSE","2","2","2","AH receptor-interacting protein",1,2,2,2
"189","sp|O08917|FLOT1_MOUSE","sp|O08917|FLOT1_MOUSE","7","7","7","Flotillin-1",1,7,7,7
"190","sp|O08992|SDCB1_MOUSE","sp|O08992|SDCB1_MOUSE","3","3","3","Syntenin-1",1,3,3,3
"191","sp|O08997|ATOX1_MOUSE","sp|O08997|ATOX1_MOUSE","5","5","5","Copper transport protein ATOX1",1,5,5,5
"192","sp|O09043|NAPSA_MOUSE","sp|O09043|NAPSA_MOUSE","4","4","4","Napsin-A",1,4,4,4
"193","sp|O09044|SNP23_MOUSE","sp|O09044|SNP23_MOUSE","6","6","6","Synaptosomal-associated protein 23",1,6,6,6
"194","sp|O09061|PSB1_MOUSE","sp|O09061|PSB1_MOUSE","15","15","15","Proteasome subunit beta type-1",1,15,15,15
"195","sp|O09106|HDAC1_MOUSE","sp|O09106|HDAC1_MOUSE","9","9","6","Histone deacetylase 1",1,9,9,6
"196","sp|O09110|MP2K3_MOUSE","sp|O09110|MP2K3_MOUSE","2","2","2","Dual specificity mitogen-activated protein kinase kinase 3",1,2,2,2
"197","sp|O09111|NDUBB_MOUSE","sp|O09111|NDUBB_MOUSE","3","3","3","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",1,3,3,3
"198","sp|O09117|SYPL1_MOUSE","sp|O09117|SYPL1_MOUSE","2","2","2","Synaptophysin-like protein 1",1,2,2,2
"199","sp|O09131|GSTO1_MOUSE;sp|Q8K2Q2|GSTO2_MOUSE","sp|O09131|GSTO1_MOUSE","20;1","20;1","20;1","Glutathione S-transferase omega-1",2,20,20,20
"200","sp|O09159|MA2B1_MOUSE","sp|O09159|MA2B1_MOUSE","14","14","14","Lysosomal alpha-mannosidase",1,14,14,14
"201","sp|O09167|RL21_MOUSE","sp|O09167|RL21_MOUSE","9","9","9","60S ribosomal protein L21",1,9,9,9
"202","sp|O35066|KIF3C_MOUSE","sp|O35066|KIF3C_MOUSE","2","2","2","Kinesin-like protein KIF3C",1,2,2,2
"203","sp|O35074|PTGIS_MOUSE","sp|O35074|PTGIS_MOUSE","9","9","9","Prostacyclin synthase",1,9,9,9
"204","sp|O35075|VP26C_MOUSE","sp|O35075|VP26C_MOUSE","2","2","2","Vacuolar protein sorting-associated protein 26C",1,2,2,2
"205","sp|O35114|SCRB2_MOUSE","sp|O35114|SCRB2_MOUSE","4","4","4","Lysosome membrane protein 2",1,4,4,4
"206","sp|O35129|PHB2_MOUSE","sp|O35129|PHB2_MOUSE","22","22","22","Prohibitin-2",1,22,22,22
"207","sp|O35130|NEP1_MOUSE","sp|O35130|NEP1_MOUSE","3","3","3","Ribosomal RNA small subunit methyltransferase NEP1",1,3,3,3
"208","sp|O35143|ATIF1_MOUSE","sp|O35143|ATIF1_MOUSE","4","4","4","ATPase inhibitor, mitochondrial",1,4,4,4
"209","sp|O35215|DOPD_MOUSE","sp|O35215|DOPD_MOUSE","9","9","9","D-dopachrome decarboxylase",1,9,9,9
"210","sp|O35218|CPSF2_MOUSE","sp|O35218|CPSF2_MOUSE","4","4","4","Cleavage and polyadenylation specificity factor subunit 2",1,4,4,4
"211","sp|O35226|PSMD4_MOUSE","sp|O35226|PSMD4_MOUSE","6","6","6","26S proteasome non-ATPase regulatory subunit 4",1,6,6,6
"212","sp|O35286|DHX15_MOUSE;sp|A2A4P0|DHX8_MOUSE","sp|O35286|DHX15_MOUSE","22;1","22;1","22;1","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15",2,22,22,22
"213","sp|O35295|PURB_MOUSE","sp|O35295|PURB_MOUSE","15","15","13","Transcriptional activator protein Pur-beta",1,15,15,13
"214","sp|O35326|SRSF5_MOUSE","sp|O35326|SRSF5_MOUSE","7","6","6","Serine/arginine-rich splicing factor 5",1,7,6,6
"215","sp|O35343|IMA3_MOUSE","sp|O35343|IMA3_MOUSE","5","5","4","Importin subunit alpha-3",1,5,5,4
"216","sp|O35344|IMA4_MOUSE","sp|O35344|IMA4_MOUSE","5","4","4","Importin subunit alpha-4",1,5,4,4
"217","sp|O35350|CAN1_MOUSE","sp|O35350|CAN1_MOUSE","25","25","25","Calpain-1 catalytic subunit",1,25,25,25
"218","sp|O35379|MRP1_MOUSE","sp|O35379|MRP1_MOUSE","5","5","5","Multidrug resistance-associated protein 1",1,5,5,5
"219","sp|O35381|AN32A_MOUSE;sp|Q64G17|AN32C_MOUSE","sp|O35381|AN32A_MOUSE","17;6","17;6","14;4","Acidic leucine-rich nuclear phosphoprotein 32 family member A",2,17,17,14
"220","sp|O35382|EXOC4_MOUSE","sp|O35382|EXOC4_MOUSE","5","5","5","Exocyst complex component 4",1,5,5,5
"221","sp|O35405|PLD3_MOUSE","sp|O35405|PLD3_MOUSE","4","4","4","5-3 exonuclease PLD3",1,4,4,4
"222","sp|O35459|ECH1_MOUSE","sp|O35459|ECH1_MOUSE","12","12","12","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",1,12,12,12
"223","sp|O35465|FKBP8_MOUSE","sp|O35465|FKBP8_MOUSE","3","3","3","Peptidyl-prolyl cis-trans isomerase FKBP8",1,3,3,3
"224","sp|O35593|PSDE_MOUSE","sp|O35593|PSDE_MOUSE","5","5","5","26S proteasome non-ATPase regulatory subunit 14",1,5,5,5
"225","sp|O35594|IFT81_MOUSE","sp|O35594|IFT81_MOUSE","2","2","2","Intraflagellar transport protein 81 homolog",1,2,2,2
"226","sp|O35598|ADA10_MOUSE","sp|O35598|ADA10_MOUSE","3","3","3","Disintegrin and metalloproteinase domain-containing protein 10",1,3,3,3
"227","sp|O35601|FYB1_MOUSE","sp|O35601|FYB1_MOUSE","2","2","2","FYN-binding protein 1",1,2,2,2
"228","sp|O35604|NPC1_MOUSE","sp|O35604|NPC1_MOUSE","7","7","7","NPC intracellular cholesterol transporter 1",1,7,7,7
"229","sp|O35609|SCAM3_MOUSE","sp|O35609|SCAM3_MOUSE","6","6","6","Secretory carrier-associated membrane protein 3",1,6,6,6
"230","sp|O35638|STAG2_MOUSE","sp|O35638|STAG2_MOUSE","5","5","3","Cohesin subunit SA-2",1,5,5,3
"231","sp|O35639|ANXA3_MOUSE","sp|O35639|ANXA3_MOUSE","26","26","26","Annexin A3",1,26,26,26
"232","sp|O35640|ANXA8_MOUSE","sp|O35640|ANXA8_MOUSE","3","3","3","Annexin A8",1,3,3,3
"233","sp|O35643|AP1B1_MOUSE","sp|O35643|AP1B1_MOUSE","28","11","11","AP-1 complex subunit beta-1",1,28,11,11
"234","sp|O35648|CETN3_MOUSE","sp|O35648|CETN3_MOUSE","4","4","4","Centrin-3",1,4,4,4
"235","sp|O35654|DPOD2_MOUSE","sp|O35654|DPOD2_MOUSE","3","3","3","DNA polymerase delta subunit 2",1,3,3,3
"236","sp|O35658|C1QBP_MOUSE","sp|O35658|C1QBP_MOUSE","3","3","3","Complement component 1 Q subcomponent-binding protein, mitochondrial",1,3,3,3
"237","sp|O35678|MGLL_MOUSE","sp|O35678|MGLL_MOUSE","2","2","2","Monoglyceride lipase",1,2,2,2
"238","sp|O35682|MYADM_MOUSE","sp|O35682|MYADM_MOUSE","3","3","3","Myeloid-associated differentiation marker",1,3,3,3
"239","sp|O35685|NUDC_MOUSE","sp|O35685|NUDC_MOUSE","10","10","10","Nuclear migration protein nudC",1,10,10,10
"240","sp|O35691|PININ_MOUSE","sp|O35691|PININ_MOUSE","5","5","5","Pinin",1,5,5,5
"241","sp|O35737|HNRH1_MOUSE","sp|O35737|HNRH1_MOUSE","16","13","7","Heterogeneous nuclear ribonucleoprotein H",1,16,13,7
"242","sp|O35744|CHIL3_MOUSE","sp|O35744|CHIL3_MOUSE","30","30","25","Chitinase-like protein 3",1,30,30,25
"243","sp|O35841|API5_MOUSE","sp|O35841|API5_MOUSE","14","14","14","Apoptosis inhibitor 5",1,14,14,14
"244","sp|O35855|BCAT2_MOUSE","sp|O35855|BCAT2_MOUSE","7","7","7","Branched-chain-amino-acid aminotransferase, mitochondrial",1,7,7,7
"245","sp|O35857|TIM44_MOUSE","sp|O35857|TIM44_MOUSE","4","4","4","Mitochondrial import inner membrane translocase subunit TIM44",1,4,4,4
"246","sp|O35864|CSN5_MOUSE","sp|O35864|CSN5_MOUSE","3","3","3","COP9 signalosome complex subunit 5",1,3,3,3
"247","sp|O35887|CALU_MOUSE","sp|O35887|CALU_MOUSE","9","9","9","Calumenin",1,9,9,9
"248","sp|O35892|SP100_MOUSE;sp|Q99388|CSPRS_MOUSE","sp|O35892|SP100_MOUSE","10;3","10;3","10;3","Nuclear autoantigen Sp-100",2,10,10,10
"249","sp|O35900|LSM2_MOUSE","sp|O35900|LSM2_MOUSE","2","2","2","U6 snRNA-associated Sm-like protein LSm2",1,2,2,2
"250","sp|O35927|CTND2_MOUSE;sp|Q68FH0|PKP4_MOUSE","sp|O35927|CTND2_MOUSE;sp|Q68FH0|PKP4_MOUSE","2;1","2;1","2;1","Catenin delta-2;Plakophilin-4",2,2,2,2
"251","sp|O35945|AL1A7_MOUSE;sp|Q9JHW9|AL1A3_MOUSE","sp|O35945|AL1A7_MOUSE","24;2","6;0","6;0","Aldehyde dehydrogenase, cytosolic 1",2,24,6,6
"252","sp|O35955|PSB10_MOUSE","sp|O35955|PSB10_MOUSE","7","7","7","Proteasome subunit beta type-10",1,7,7,7
"253","sp|O54692|ZW10_MOUSE","sp|O54692|ZW10_MOUSE","2","2","2","Centromere/kinetochore protein zw10 homolog",1,2,2,2
"254","sp|O54724|CAVN1_MOUSE","sp|O54724|CAVN1_MOUSE","16","16","16","Caveolae-associated protein 1",1,16,16,16
"255","sp|O54734|OST48_MOUSE","sp|O54734|OST48_MOUSE","16","16","16","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",1,16,16,16
"256","sp|O54774|AP3D1_MOUSE","sp|O54774|AP3D1_MOUSE","4","4","4","AP-3 complex subunit delta-1",1,4,4,4
"257","sp|O54782|MA2B2_MOUSE","sp|O54782|MA2B2_MOUSE","6","6","6","Epididymis-specific alpha-mannosidase",1,6,6,6
"258","sp|O54824|IL16_MOUSE","sp|O54824|IL16_MOUSE","18","18","18","Pro-interleukin-16",1,18,18,18
"259","sp|O54833|CSK22_MOUSE","sp|O54833|CSK22_MOUSE","3","3","3","Casein kinase II subunit alpha",1,3,3,3
"260","sp|O54879|HMGB3_MOUSE","sp|O54879|HMGB3_MOUSE","4","4","4","High mobility group protein B3",1,4,4,4
"261","sp|O54941|SMCE1_MOUSE","sp|O54941|SMCE1_MOUSE","6","6","6","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1",1,6,6,6
"262","sp|O54946|DNJB6_MOUSE;sp|Q9QYI8|DNJB7_MOUSE","sp|O54946|DNJB6_MOUSE","5;2","5;2","5;2","DnaJ homolog subfamily B member 6",2,5,5,5
"263","sp|O54950|AAKG1_MOUSE","sp|O54950|AAKG1_MOUSE","3","3","3","5-AMP-activated protein kinase subunit gamma-1",1,3,3,3
"264","sp|O54962|BAF_MOUSE","sp|O54962|BAF_MOUSE","12","12","12","Barrier-to-autointegration factor",1,12,12,12
"265","sp|O54984|GET3_MOUSE","sp|O54984|GET3_MOUSE","6","6","6","ATPase GET3",1,6,6,6
"266","sp|O54988|SLK_MOUSE","sp|O54988|SLK_MOUSE","11","10","10","STE20-like serine/threonine-protein kinase",1,11,10,10
"267","sp|O55013|TPPC3_MOUSE","sp|O55013|TPPC3_MOUSE","3","3","3","Trafficking protein particle complex subunit 3",1,3,3,3
"268","sp|O55022|PGRC1_MOUSE","sp|O55022|PGRC1_MOUSE","6","6","6","Membrane-associated progesterone receptor component 1",1,6,6,6
"269","sp|O55023|IMPA1_MOUSE","sp|O55023|IMPA1_MOUSE","7","7","7","Inositol monophosphatase 1",1,7,7,7
"270","sp|O55026|ENTP2_MOUSE","sp|O55026|ENTP2_MOUSE","6","6","6","Ectonucleoside triphosphate diphosphohydrolase 2",1,6,6,6
"271","sp|O55029|COPB2_MOUSE","sp|O55029|COPB2_MOUSE","23","23","23","Coatomer subunit beta",1,23,23,23
"272","sp|O55071|CP2BJ_MOUSE;sp|P12790|CP2B9_MOUSE","sp|O55071|CP2BJ_MOUSE","7;2","3;1","3;1","Cytochrome P450 2B19",2,7,3,3
"273","sp|O55098|STK10_MOUSE","sp|O55098|STK10_MOUSE","21","21","20","Serine/threonine-protein kinase 10",1,21,21,20
"274","sp|O55106|STRN_MOUSE","sp|O55106|STRN_MOUSE","4","4","4","Striatin",1,4,4,4
"275","sp|O55126|NIPS2_MOUSE","sp|O55126|NIPS2_MOUSE","8","8","8","Protein NipSnap homolog 2",1,8,8,8
"276","sp|O55128|SAP18_MOUSE","sp|O55128|SAP18_MOUSE","6","6","6","Histone deacetylase complex subunit SAP18",1,6,6,6
"277","sp|O55131|SEPT7_MOUSE;sp|Q8C650|SEP10_MOUSE","sp|O55131|SEPT7_MOUSE","20;1","20;1","18;0","Septin-7",2,20,20,18
"278","sp|O55135|IF6_MOUSE","sp|O55135|IF6_MOUSE","6","6","6","Eukaryotic translation initiation factor 6",1,6,6,6
"279","sp|O55137|ACOT1_MOUSE;sp|Q32Q92|ACOT6_MOUSE;sp|Q8BWN8|ACOT4_MOUSE;sp|Q9QYR7|ACOT3_MOUSE;sp|Q6Q2Z6|ACOT5_MOUSE","sp|O55137|ACOT1_MOUSE","12;2;2;2;1","3;0;0;1;0","3;0;0;1;0","Acyl-coenzyme A thioesterase 1",5,12,3,3
"280","sp|O55142|RL35A_MOUSE","sp|O55142|RL35A_MOUSE","8","8","8","60S ribosomal protein L35a",1,8,8,8
"281","sp|O55143|AT2A2_MOUSE","sp|O55143|AT2A2_MOUSE","36","36","26","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2",1,36,36,26
"282","sp|O55201|SPT5H_MOUSE","sp|O55201|SPT5H_MOUSE","9","9","9","Transcription elongation factor SPT5",1,9,9,9
